SCHOOL-LEVEL TEST-BY-TEST PASS AND PASS ADVANCED,,,,,,8/10/2015,,
DIVISION,SCHOOL,SUBJECT,GRADE,TEST,PASS 2013-2014,PASS 2014-2015,ADVANCED 2013-2014,ADVANCED 2014-2015
Accomack County ,Metompkin Elementary,Mathematics,Gr 3,Mathematics,18,60,1,11
Accomack County ,Metompkin Elementary,Mathematics,Gr 4,Mathematics,64,65,10,6
Accomack County ,Metompkin Elementary,Mathematics,Gr 5,Mathematics,60,75,12,23
Accomack County ,Metompkin Elementary,Science,Gr 5,Science,56,71,6,7
Accomack County ,Nandua High,English: Reading,Gr 8,English Reading,,86,,0
Accomack County ,Nandua High,English: Reading,End of Course,English Reading,92,82,6,5
Accomack County ,Nandua High,English: Writing,End of Course,Writing,91,76,14,15
Accomack County ,Nandua High,History and Social Sciences,End of Course,Geography,88,67,8,3
Accomack County ,Nandua High,History and Social Sciences,End of Course,VA & US History,77,75,6,6
Accomack County ,Nandua High,History and Social Sciences,End of Course,World History I,75,70,15,7
Accomack County ,Nandua High,History and Social Sciences,End of Course,World History II,78,88,8,20
Accomack County ,Nandua High,Mathematics,Gr 8,Mathematics,,<,,<
Accomack County ,Nandua High,Mathematics,End of Course,Algebra I,89,88,2,1
Accomack County ,Nandua High,Mathematics,End of Course,Algebra II,78,77,14,14
Accomack County ,Nandua High,Mathematics,End of Course,Geometry,82,65,7,3
Accomack County ,Nandua High,Science,End of Course,Biology,87,90,12,18
Accomack County ,Nandua High,Science,End of Course,Chemistry,96,86,6,11
Accomack County ,Nandua High,Science,End of Course,Earth Science,78,72,6,6
Accomack County ,Nandua Middle,English: Reading,Gr 6,English Reading,61,72,7,13
Accomack County ,Nandua Middle,English: Reading,Gr 7,English Reading,74,78,11,11
Accomack County ,Nandua Middle,English: Reading,Gr 8,English Reading,57,66,5,7
Accomack County ,Nandua Middle,English: Writing,Gr 8,Writing,53,77,8,14
Accomack County ,Nandua Middle,History and Social Sciences,Content Specific,Civics & Econ,74,91,29,40
Accomack County ,Nandua Middle,Mathematics,Gr 6,Mathematics,80,83,2,7
Accomack County ,Nandua Middle,Mathematics,Gr 7,Mathematics,49,57,3,4
Accomack County ,Nandua Middle,Mathematics,Gr 8,Mathematics,57,73,3,2
Accomack County ,Nandua Middle,Mathematics,End of Course,Algebra I,85,90,0,0
Accomack County ,Nandua Middle,Mathematics,End of Course,Geometry,94,100,6,33
Accomack County ,Nandua Middle,Science,Gr 8,Science,55,76,1,7
Accomack County ,Pungoteague Elementary,English: Reading,Gr 3,English Reading,46,62,0,3
Accomack County ,Pungoteague Elementary,English: Reading,Gr 4,English Reading,61,59,7,7
Accomack County ,Pungoteague Elementary,English: Reading,Gr 5,English Reading,58,72,12,15
Accomack County ,Pungoteague Elementary,History and Social Sciences,Content Specific,VA Studies,86,69,29,12
Accomack County ,Pungoteague Elementary,Mathematics,Gr 3,Mathematics,49,53,4,12
Accomack County ,Pungoteague Elementary,Mathematics,Gr 4,Mathematics,86,74,13,9
Accomack County ,Pungoteague Elementary,Mathematics,Gr 5,Mathematics,70,83,17,28
Accomack County ,Pungoteague Elementary,Science,Gr 5,Science,68,78,17,14
Accomack County ,Tangier Combined,English: Reading,Gr 3,English Reading,<,33,<,0
Accomack County ,Tangier Combined,English: Reading,Gr 4,English Reading,38,<,0,<
Accomack County ,Tangier Combined,English: Reading,Gr 5,English Reading,40,63,20,0
Accomack County ,Tangier Combined,English: Reading,Gr 6,English Reading,<,50,<,0
Accomack County ,Tangier Combined,English: Reading,Gr 7,English Reading,<,<,<,<
Accomack County ,Tangier Combined,English: Reading,Gr 8,English Reading,100,<,0,<
Accomack County ,Tangier Combined,English: Reading,End of Course,English Reading,86,100,0,0
Accomack County ,Tangier Combined,English: Writing,Gr 8,Writing,83,<,0,<
Accomack County ,Tangier Combined,English: Writing,End of Course,Writing,100,100,0,0
