SCHOOL-LEVEL TEST-BY-TEST PASS AND PASS ADVANCED,,,,,,8/10/2015,,
DIVISION,SCHOOL,SUBJECT,GRADE,TEST,PASS 2013-2014,PASS 2014-2015,ADVANCED 2013-2014,ADVANCED 2014-2015
Chesterfield County ,Harrowgate Elementary,English: Reading,Gr 5,English Reading,72,62,6,13
Chesterfield County ,Harrowgate Elementary,History and Social Sciences,Content Specific,VA Studies,78,77,39,30
Chesterfield County ,Harrowgate Elementary,Mathematics,Gr 3,Mathematics,56,78,6,14
Chesterfield County ,Harrowgate Elementary,Mathematics,Gr 4,Mathematics,85,85,18,16
Chesterfield County ,Harrowgate Elementary,Mathematics,Gr 5,Mathematics,77,65,6,3
Chesterfield County ,Harrowgate Elementary,Mathematics,Gr 6,Mathematics,93,100,0,19
Chesterfield County ,Harrowgate Elementary,Science,Gr 5,Science,72,65,1,11
Chesterfield County ,Hopkins Road Elementary,English: Reading,Gr 3,English Reading,59,84,5,25
Chesterfield County ,Hopkins Road Elementary,English: Reading,Gr 4,English Reading,46,69,8,15
Chesterfield County ,Hopkins Road Elementary,English: Reading,Gr 5,English Reading,62,58,3,13
Chesterfield County ,Hopkins Road Elementary,History and Social Sciences,Content Specific,VA Studies,58,76,25,29
Chesterfield County ,Hopkins Road Elementary,Mathematics,Gr 3,Mathematics,67,84,10,12
Chesterfield County ,Hopkins Road Elementary,Mathematics,Gr 4,Mathematics,78,73,18,20
Chesterfield County ,Hopkins Road Elementary,Mathematics,Gr 5,Mathematics,63,56,9,2
Chesterfield County ,Hopkins Road Elementary,Mathematics,Gr 6,Mathematics,100,100,38,27
Chesterfield County ,Hopkins Road Elementary,Science,Gr 5,Science,71,63,4,15
Chesterfield County ,J.A. Chalkley Elementary,English: Reading,Gr 3,English Reading,60,61,7,5
Chesterfield County ,J.A. Chalkley Elementary,English: Reading,Gr 4,English Reading,56,60,9,8
Chesterfield County ,J.A. Chalkley Elementary,English: Reading,Gr 5,English Reading,61,67,11,12
Chesterfield County ,J.A. Chalkley Elementary,History and Social Sciences,Content Specific,VA Studies,59,55,6,4
Chesterfield County ,J.A. Chalkley Elementary,Mathematics,Gr 3,Mathematics,64,64,9,9
Chesterfield County ,J.A. Chalkley Elementary,Mathematics,Gr 4,Mathematics,82,71,16,11
Chesterfield County ,J.A. Chalkley Elementary,Mathematics,Gr 5,Mathematics,66,67,11,6
Chesterfield County ,J.A. Chalkley Elementary,Mathematics,Gr 6,Mathematics,95,93,5,21
Chesterfield County ,J.A. Chalkley Elementary,Science,Gr 5,Science,50,52,3,7
Chesterfield County ,J.B. Watkins Elementary,English: Reading,Gr 3,English Reading,80,86,13,24
Chesterfield County ,J.B. Watkins Elementary,English: Reading,Gr 4,English Reading,83,86,23,26
Chesterfield County ,J.B. Watkins Elementary,English: Reading,Gr 5,English Reading,87,89,22,38
Chesterfield County ,J.B. Watkins Elementary,History and Social Sciences,Content Specific,VA Studies,89,96,40,60
Chesterfield County ,J.B. Watkins Elementary,Mathematics,Gr 3,Mathematics,67,83,11,20
Chesterfield County ,J.B. Watkins Elementary,Mathematics,Gr 4,Mathematics,84,96,23,33
Chesterfield County ,J.B. Watkins Elementary,Mathematics,Gr 5,Mathematics,89,88,34,40
Chesterfield County ,J.B. Watkins Elementary,Mathematics,Gr 6,Mathematics,100,100,50,62
Chesterfield County ,J.B. Watkins Elementary,Science,Gr 5,Science,89,90,30,41
Chesterfield County ,J.G. Hening Elementary,English: Reading,Gr 3,English Reading,69,75,19,23
Chesterfield County ,J.G. Hening Elementary,English: Reading,Gr 4,English Reading,62,78,27,29
Chesterfield County ,J.G. Hening Elementary,English: Reading,Gr 5,English Reading,76,77,25,29
Chesterfield County ,J.G. Hening Elementary,History and Social Sciences,Content Specific,VA Studies,76,84,30,38
Chesterfield County ,J.G. Hening Elementary,Mathematics,Gr 3,Mathematics,72,73,19,15
Chesterfield County ,J.G. Hening Elementary,Mathematics,Gr 4,Mathematics,79,83,29,30
Chesterfield County ,J.G. Hening Elementary,Mathematics,Gr 5,Mathematics,49,76,2,17
Chesterfield County ,J.G. Hening Elementary,Mathematics,Gr 6,Mathematics,99,98,65,49
Chesterfield County ,J.G. Hening Elementary,Science,Gr 5,Science,62,79,22,29
Chesterfield County ,Jacobs Road Elementary,English: Reading,Gr 3,English Reading,71,67,15,13
Chesterfield County ,Jacobs Road Elementary,English: Reading,Gr 4,English Reading,73,78,19,19
Chesterfield County ,Jacobs Road Elementary,English: Reading,Gr 5,English Reading,74,72,10,22
Chesterfield County ,Jacobs Road Elementary,History and Social Sciences,Content Specific,VA Studies,91,90,52,47
Chesterfield County ,Jacobs Road Elementary,Mathematics,Gr 3,Mathematics,74,56,18,8
Chesterfield County ,Jacobs Road Elementary,Mathematics,Gr 4,Mathematics,85,73,23,23
Chesterfield County ,Jacobs Road Elementary,Mathematics,Gr 5,Mathematics,63,74,13,10
Chesterfield County ,Jacobs Road Elementary,Mathematics,Gr 6,Mathematics,100,100,16,56
Chesterfield County ,Jacobs Road Elementary,Science,Gr 5,Science,76,75,12,23
Chesterfield County ,James River High,English: Reading,End of Course,English Reading,90,90,13,11
Chesterfield County ,James River High,English: Writing,End of Course,Writing,82,78,28,28
Chesterfield County ,James River High,History and Social Sciences,End of Course,Geography,100,100,32,47
Chesterfield County ,James River High,History and Social Sciences,End of Course,VA & US History,86,84,12,10
Chesterfield County ,James River High,History and Social Sciences,End of Course,World History I,85,83,14,12
Chesterfield County ,James River High,History and Social Sciences,End of Course,World History II,86,89,22,22
Chesterfield County ,James River High,Mathematics,End of Course,Algebra I,49,51,0,0
Chesterfield County ,James River High,Mathematics,End of Course,Algebra II,80,85,21,23
Chesterfield County ,James River High,Mathematics,End of Course,Geometry,68,69,7,6
Chesterfield County ,James River High,Science,End of Course,Biology,80,83,11,18
Chesterfield County ,James River High,Science,End of Course,Chemistry,81,88,14,13
Chesterfield County ,James River High,Science,End of Course,Earth Science,79,82,5,2
Chesterfield County ,Lloyd C. Bird High,English: Reading,Gr 8,English Reading,<,100,<,0
Chesterfield County ,Lloyd C. Bird High,English: Reading,End of Course,English Reading,88,86,5,3
Chesterfield County ,Lloyd C. Bird High,English: Writing,End of Course,Writing,67,73,10,10
Chesterfield County ,Lloyd C. Bird High,History and Social Sciences,End of Course,Geography,,100,,26
Chesterfield County ,Lloyd C. Bird High,History and Social Sciences,End of Course,VA & US History,89,83,8,8
Chesterfield County ,Lloyd C. Bird High,History and Social Sciences,End of Course,World History I,82,84,14,18
Chesterfield County ,Lloyd C. Bird High,History and Social Sciences,End of Course,World History II,95,92,25,14
Chesterfield County ,Lloyd C. Bird High,Mathematics,Gr 8,Mathematics,<,,<,
Chesterfield County ,Lloyd C. Bird High,Mathematics,End of Course,Algebra I,25,45,0,0
Chesterfield County ,Lloyd C. Bird High,Mathematics,End of Course,Algebra II,89,86,9,9
Chesterfield County ,Lloyd C. Bird High,Mathematics,End of Course,Geometry,54,53,3,3
Chesterfield County ,Lloyd C. Bird High,Science,End of Course,Biology,73,75,3,9
Chesterfield County ,Lloyd C. Bird High,Science,End of Course,Chemistry,95,89,9,4
Chesterfield County ,Lloyd C. Bird High,Science,End of Course,Earth Science,68,76,2,2
Chesterfield County ,Manchester High,English: Reading,Gr 8,English Reading,<,,<,
Chesterfield County ,Manchester High,English: Reading,End of Course,English Reading,92,93,8,8
Chesterfield County ,Manchester High,English: Writing,End of Course,Writing,81,73,18,12
Chesterfield County ,Manchester High,History and Social Sciences,End of Course,Geography,100,100,20,25
Chesterfield County ,Manchester High,History and Social Sciences,End of Course,VA & US History,94,91,16,11
Chesterfield County ,Manchester High,History and Social Sciences,End of Course,World History I,84,87,7,14
Chesterfield County ,Manchester High,History and Social Sciences,End of Course,World History II,90,93,12,8
Chesterfield County ,Manchester High,Mathematics,Gr 8,Mathematics,<,,<,
Chesterfield County ,Manchester High,Mathematics,End of Course,Algebra I,38,53,1,0
Chesterfield County ,Manchester High,Mathematics,End of Course,Algebra II,82,89,15,14
Chesterfield County ,Manchester High,Mathematics,End of Course,Geometry,77,85,8,7
Chesterfield County ,Manchester High,Science,End of Course,Biology,88,86,4,10
Chesterfield County ,Manchester High,Science,End of Course,Chemistry,89,88,10,3
Chesterfield County ,Manchester High,Science,End of Course,Earth Science,84,87,5,9
Chesterfield County ,Manchester Middle,English: Reading,Gr 6,English Reading,68,76,18,23
Chesterfield County ,Manchester Middle,English: Reading,Gr 7,English Reading,80,80,23,26
Chesterfield County ,Manchester Middle,English: Reading,Gr 8,English Reading,75,76,18,11
Chesterfield County ,Manchester Middle,English: Writing,Gr 8,Writing,79,74,25,24
Chesterfield County ,Manchester Middle,History and Social Sciences,Content Specific,Civics & Econ,80,87,26,27
Chesterfield County ,Manchester Middle,History and Social Sciences,End of Course,World History I,,<,,<
Chesterfield County ,Manchester Middle,Mathematics,Gr 6,Mathematics,58,71,4,6
Chesterfield County ,Manchester Middle,Mathematics,Gr 7,Mathematics,71,66,17,18
Chesterfield County ,Manchester Middle,Mathematics,Gr 8,Mathematics,86,85,24,26
Chesterfield County ,Manchester Middle,Mathematics,End of Course,Algebra I,83,85,5,8
Chesterfield County ,Manchester Middle,Mathematics,End of Course,Algebra II,100,100,100,78
Chesterfield County ,Manchester Middle,Mathematics,End of Course,Geometry,100,98,51,39
Chesterfield County ,Manchester Middle,Science,Gr 8,Science,76,81,14,13
Chesterfield County ,Manchester Middle,Science,End of Course,Earth Science,100,98,47,20
Chesterfield County ,Marguerite F. Christian Elementary,English: Reading,Gr 3,English Reading,67,63,15,22
Chesterfield County ,Marguerite F. Christian Elementary,English: Reading,Gr 4,English Reading,48,69,16,27
Chesterfield County ,Marguerite F. Christian Elementary,English: Reading,Gr 5,English Reading,64,67,11,26
Chesterfield County ,Marguerite F. Christian Elementary,History and Social Sciences,Content Specific,VA Studies,46,72,15,32
Chesterfield County ,Marguerite F. Christian Elementary,Mathematics,Gr 3,Mathematics,62,72,14,13
Chesterfield County ,Marguerite F. Christian Elementary,Mathematics,Gr 4,Mathematics,61,82,14,34
Chesterfield County ,Marguerite F. Christian Elementary,Mathematics,Gr 5,Mathematics,56,57,3,4
Chesterfield County ,Marguerite F. Christian Elementary,Mathematics,Gr 6,Mathematics,100,100,14,24
Chesterfield County ,Marguerite F. Christian Elementary,Science,Gr 5,Science,61,72,6,16
Chesterfield County ,Matoaca Elementary,English: Reading,Gr 3,English Reading,83,87,16,24
Chesterfield County ,Matoaca Elementary,English: Reading,Gr 4,English Reading,71,91,14,20
Chesterfield County ,Matoaca Elementary,English: Reading,Gr 5,English Reading,75,87,19,14
Chesterfield County ,Matoaca Elementary,History and Social Sciences,Content Specific,VA Studies,89,85,44,37
Chesterfield County ,Matoaca Elementary,Mathematics,Gr 3,Mathematics,82,88,11,15
Chesterfield County ,Matoaca Elementary,Mathematics,Gr 4,Mathematics,81,84,18,23
Chesterfield County ,Matoaca Elementary,Mathematics,Gr 5,Mathematics,81,77,11,11
Chesterfield County ,Matoaca Elementary,Mathematics,Gr 6,Mathematics,100,100,48,17
Chesterfield County ,Matoaca Elementary,Science,Gr 5,Science,85,83,9,11
Chesterfield County ,Matoaca High,English: Reading,End of Course,English Reading,95,92,5,4
Chesterfield County ,Matoaca High,English: Writing,End of Course,Writing,75,74,11,12
Chesterfield County ,Matoaca High,History and Social Sciences,End of Course,Geography,<,,<,
Chesterfield County ,Matoaca High,History and Social Sciences,End of Course,VA & US History,91,86,7,10
Chesterfield County ,Matoaca High,History and Social Sciences,End of Course,World History I,81,79,11,7
Chesterfield County ,Matoaca High,History and Social Sciences,End of Course,World History II,84,85,5,12
Chesterfield County ,Matoaca High,Mathematics,End of Course,Algebra I,58,53,0,1
Chesterfield County ,Matoaca High,Mathematics,End of Course,Algebra II,72,77,8,8
Chesterfield County ,Matoaca High,Mathematics,End of Course,Geometry,78,66,2,3
Chesterfield County ,Matoaca High,Science,End of Course,Biology,83,85,8,8
Chesterfield County ,Matoaca High,Science,End of Course,Chemistry,77,85,3,7
Chesterfield County ,Matoaca High,Science,End of Course,Earth Science,77,78,3,4
Chesterfield County ,Matoaca Middle,English: Reading,Gr 6,English Reading,69,77,13,20
Chesterfield County ,Matoaca Middle,English: Reading,Gr 7,English Reading,75,76,19,23
Chesterfield County ,Matoaca Middle,English: Reading,Gr 8,English Reading,70,74,15,9
Chesterfield County ,Matoaca Middle,English: Writing,Gr 8,Writing,70,78,22,20
Chesterfield County ,Matoaca Middle,History and Social Sciences,Content Specific,Civics & Econ,79,80,22,21
Chesterfield County ,Matoaca Middle,History and Social Sciences,End of Course,World History I,<,,<,
Chesterfield County ,Matoaca Middle,Mathematics,Gr 6,Mathematics,68,75,9,11
Chesterfield County ,Matoaca Middle,Mathematics,Gr 7,Mathematics,67,72,13,7
Chesterfield County ,Matoaca Middle,Mathematics,Gr 8,Mathematics,83,84,18,26
Chesterfield County ,Matoaca Middle,Mathematics,End of Course,Algebra I,76,77,11,8
Chesterfield County ,Matoaca Middle,Mathematics,End of Course,Algebra II,100,<,86,<
Chesterfield County ,Matoaca Middle,Mathematics,End of Course,Geometry,100,100,75,61
Chesterfield County ,Matoaca Middle,Science,Gr 8,Science,68,72,6,4
Chesterfield County ,Matoaca Middle,Science,End of Course,Earth Science,100,97,30,24
Chesterfield County ,Meadowbrook High,English: Reading,Gr 8,English Reading,17,100,0,0
Chesterfield County ,Meadowbrook High,English: Reading,End of Course,English Reading,85,81,2,2
Chesterfield County ,Meadowbrook High,English: Writing,End of Course,Writing,61,59,5,6
Chesterfield County ,Meadowbrook High,History and Social Sciences,End of Course,Geography,95,100,9,7
Chesterfield County ,Meadowbrook High,History and Social Sciences,End of Course,VA & US History,79,77,4,3
Chesterfield County ,Meadowbrook High,History and Social Sciences,End of Course,World History I,82,78,7,8
Chesterfield County ,Meadowbrook High,History and Social Sciences,End of Course,World History II,81,91,6,15
Chesterfield County ,Meadowbrook High,Mathematics,Gr 8,Mathematics,<,,<,
Chesterfield County ,Meadowbrook High,Mathematics,End of Course,Algebra I,38,53,0,0
Chesterfield County ,Meadowbrook High,Mathematics,End of Course,Algebra II,91,92,7,11
Chesterfield County ,Meadowbrook High,Mathematics,End of Course,Geometry,53,70,3,2
Chesterfield County ,Meadowbrook High,Science,End of Course,Biology,63,77,1,4
Chesterfield County ,Meadowbrook High,Science,End of Course,Chemistry,74,90,1,6
Chesterfield County ,Meadowbrook High,Science,End of Course,Earth Science,62,61,0,1
Chesterfield County ,Midlothian High,English: Reading,End of Course,English Reading,98,99,15,14
Chesterfield County ,Midlothian High,English: Writing,End of Course,Writing,94,93,39,35
Chesterfield County ,Midlothian High,History and Social Sciences,End of Course,VA & US History,95,95,29,24
Chesterfield County ,Midlothian High,History and Social Sciences,End of Course,World History I,92,93,34,28
Chesterfield County ,Midlothian High,History and Social Sciences,End of Course,World History II,98,96,30,25
Chesterfield County ,Midlothian High,Mathematics,End of Course,Algebra I,78,67,7,1
Chesterfield County ,Midlothian High,Mathematics,End of Course,Algebra II,95,93,38,28
Chesterfield County ,Midlothian High,Mathematics,End of Course,Geometry,90,89,17,9
Chesterfield County ,Midlothian High,Science,End of Course,Biology,96,98,17,29
Chesterfield County ,Midlothian High,Science,End of Course,Chemistry,94,93,10,18
Chesterfield County ,Midlothian High,Science,End of Course,Earth Science,97,96,25,16
Chesterfield County ,Midlothian Middle,English: Reading,Gr 6,English Reading,90,88,23,31
Chesterfield County ,Midlothian Middle,English: Reading,Gr 7,English Reading,92,97,31,39
Chesterfield County ,Midlothian Middle,English: Reading,Gr 8,English Reading,89,92,19,19
Chesterfield County ,Midlothian Middle,English: Writing,Gr 8,Writing,90,95,36,40
Chesterfield County ,Midlothian Middle,History and Social Sciences,Content Specific,Civics & Econ,94,97,43,44
Chesterfield County ,Midlothian Middle,Mathematics,Gr 6,Mathematics,90,94,8,25
Chesterfield County ,Midlothian Middle,Mathematics,Gr 7,Mathematics,89,91,20,22
Chesterfield County ,Midlothian Middle,Mathematics,Gr 8,Mathematics,93,95,35,39
Chesterfield County ,Midlothian Middle,Mathematics,End of Course,Algebra I,97,97,29,38
Chesterfield County ,Midlothian Middle,Mathematics,End of Course,Geometry,100,100,88,77
Chesterfield County ,Midlothian Middle,Science,Gr 8,Science,92,95,24,31
Chesterfield County ,Monacan High,English: Reading,Gr 8,English Reading,<,100,<,0
Chesterfield County ,Monacan High,English: Reading,End of Course,English Reading,91,91,7,7
Chesterfield County ,Monacan High,English: Writing,End of Course,Writing,79,81,19,19
Chesterfield County ,Monacan High,History and Social Sciences,End of Course,Geography,,<,,<
Chesterfield County ,Monacan High,History and Social Sciences,End of Course,VA & US History,83,84,7,6
Chesterfield County ,Monacan High,History and Social Sciences,End of Course,World History I,77,84,7,8
Chesterfield County ,Monacan High,History and Social Sciences,End of Course,World History II,83,91,16,16
Chesterfield County ,Monacan High,Mathematics,End of Course,Algebra I,70,81,0,0
Chesterfield County ,Monacan High,Mathematics,End of Course,Algebra II,86,93,16,20
Chesterfield County ,Monacan High,Mathematics,End of Course,Geometry,67,81,5,5
Chesterfield County ,Monacan High,Science,End of Course,Biology,90,88,9,16
Chesterfield County ,Monacan High,Science,End of Course,Chemistry,81,90,7,8
Chesterfield County ,Monacan High,Science,End of Course,Earth Science,90,84,5,0
Chesterfield County ,O.B. Gates Elementary,English: Reading,Gr 3,English Reading,77,90,21,37
Chesterfield County ,O.B. Gates Elementary,English: Reading,Gr 4,English Reading,79,87,29,25
Chesterfield County ,O.B. Gates Elementary,English: Reading,Gr 5,English Reading,76,87,13,29
Chesterfield County ,O.B. Gates Elementary,History and Social Sciences,Content Specific,VA Studies,91,88,46,31
Chesterfield County ,O.B. Gates Elementary,Mathematics,Gr 3,Mathematics,82,87,29,20
Chesterfield County ,O.B. Gates Elementary,Mathematics,Gr 4,Mathematics,94,94,33,34
Chesterfield County ,O.B. Gates Elementary,Mathematics,Gr 5,Mathematics,64,84,10,16
Chesterfield County ,O.B. Gates Elementary,Mathematics,Gr 6,Mathematics,100,100,43,52
Chesterfield County ,O.B. Gates Elementary,Science,Gr 5,Science,80,79,10,11
Chesterfield County ,Providence Elementary,English: Reading,Gr 3,English Reading,75,81,18,23
Chesterfield County ,Providence Elementary,English: Reading,Gr 4,English Reading,68,83,14,32
Chesterfield County ,Providence Elementary,English: Reading,Gr 5,English Reading,70,86,12,15
Chesterfield County ,Providence Elementary,History and Social Sciences,Content Specific,VA Studies,86,91,32,46
Chesterfield County ,Providence Elementary,Mathematics,Gr 3,Mathematics,81,80,21,25
Chesterfield County ,Providence Elementary,Mathematics,Gr 4,Mathematics,77,90,5,23
Chesterfield County ,Providence Elementary,Mathematics,Gr 5,Mathematics,71,84,5,10
Chesterfield County ,Providence Elementary,Mathematics,Gr 6,Mathematics,96,100,19,9
Chesterfield County ,Providence Elementary,Science,Gr 5,Science,75,85,8,16
Chesterfield County ,Providence Middle,English: Reading,Gr 6,English Reading,69,69,9,11
Chesterfield County ,Providence Middle,English: Reading,Gr 7,English Reading,66,78,10,16
Chesterfield County ,Providence Middle,English: Reading,Gr 8,English Reading,57,66,3,5
Chesterfield County ,Providence Middle,English: Writing,Gr 8,Writing,58,67,5,6
Chesterfield County ,Providence Middle,History and Social Sciences,Content Specific,Civics & Econ,84,87,11,14
Chesterfield County ,Providence Middle,History and Social Sciences,End of Course,World History I,<,,<,
Chesterfield County ,Providence Middle,Mathematics,Gr 6,Mathematics,77,80,6,10
Chesterfield County ,Providence Middle,Mathematics,Gr 7,Mathematics,63,77,8,10
Chesterfield County ,Providence Middle,Mathematics,Gr 8,Mathematics,67,83,8,10
Chesterfield County ,Providence Middle,Mathematics,End of Course,Algebra I,76,72,4,4
Chesterfield County ,Providence Middle,Mathematics,End of Course,Geometry,<,<,<,<
Chesterfield County ,Providence Middle,Science,Gr 8,Science,72,79,4,7
Chesterfield County ,Providence Middle,Science,End of Course,Earth Science,,<,,<
Chesterfield County ,Reams Road Elementary,English: Reading,Gr 3,English Reading,63,78,5,17
Chesterfield County ,Reams Road Elementary,English: Reading,Gr 4,English Reading,68,83,13,6
Chesterfield County ,Reams Road Elementary,English: Reading,Gr 5,English Reading,88,84,12,22
Chesterfield County ,Reams Road Elementary,History and Social Sciences,Content Specific,VA Studies,86,93,35,35
Chesterfield County ,Reams Road Elementary,Mathematics,Gr 3,Mathematics,70,78,10,15
Chesterfield County ,Reams Road Elementary,Mathematics,Gr 4,Mathematics,94,90,30,21
Chesterfield County ,Reams Road Elementary,Mathematics,Gr 5,Mathematics,92,93,42,18
Chesterfield County ,Reams Road Elementary,Mathematics,Gr 6,Mathematics,100,100,54,10
Chesterfield County ,Reams Road Elementary,Science,Gr 5,Science,86,91,17,21
Chesterfield County ,Robious Elementary,English: Reading,Gr 3,English Reading,91,92,32,45
Chesterfield County ,Robious Elementary,English: Reading,Gr 4,English Reading,90,94,37,36
Chesterfield County ,Robious Elementary,English: Reading,Gr 5,English Reading,92,91,25,43
Chesterfield County ,Robious Elementary,History and Social Sciences,Content Specific,VA Studies,97,97,78,73
Chesterfield County ,Robious Elementary,Mathematics,Gr 3,Mathematics,93,90,22,30
Chesterfield County ,Robious Elementary,Mathematics,Gr 4,Mathematics,93,94,40,43
Chesterfield County ,Robious Elementary,Mathematics,Gr 5,Mathematics,92,88,26,18
Chesterfield County ,Robious Elementary,Mathematics,Gr 6,Mathematics,100,100,43,68
Chesterfield County ,Robious Elementary,Science,Gr 5,Science,90,90,28,31
Chesterfield County ,Robious Middle,English: Reading,Gr 6,English Reading,89,89,21,29
Chesterfield County ,Robious Middle,English: Reading,Gr 7,English Reading,87,90,24,35
Chesterfield County ,Robious Middle,English: Reading,Gr 8,English Reading,84,81,22,17
Chesterfield County ,Robious Middle,English: Writing,Gr 8,Writing,84,87,33,32
Chesterfield County ,Robious Middle,History and Social Sciences,Content Specific,Civics & Econ,91,93,42,39
Chesterfield County ,Robious Middle,Mathematics,Gr 6,Mathematics,84,87,13,19
Chesterfield County ,Robious Middle,Mathematics,Gr 7,Mathematics,88,87,24,23
Chesterfield County ,Robious Middle,Mathematics,Gr 8,Mathematics,93,95,24,41
Chesterfield County ,Robious Middle,Mathematics,End of Course,Algebra I,95,97,19,35
Chesterfield County ,Robious Middle,Mathematics,End of Course,Geometry,100,100,76,73
Chesterfield County ,Robious Middle,Science,Gr 8,Science,77,81,12,16
Chesterfield County ,Robious Middle,Science,End of Course,Earth Science,100,100,65,30
Chesterfield County ,Salem Church Elementary,English: Reading,Gr 3,English Reading,63,61,13,15
Chesterfield County ,Salem Church Elementary,English: Reading,Gr 4,English Reading,47,63,5,12
Chesterfield County ,Salem Church Elementary,English: Reading,Gr 5,English Reading,66,64,11,12
Chesterfield County ,Salem Church Elementary,History and Social Sciences,Content Specific,VA Studies,60,79,14,24
Chesterfield County ,Salem Church Elementary,Mathematics,Gr 3,Mathematics,72,73,12,18
Chesterfield County ,Salem Church Elementary,Mathematics,Gr 4,Mathematics,54,82,16,18
Chesterfield County ,Salem Church Elementary,Mathematics,Gr 5,Mathematics,57,55,6,1
Chesterfield County ,Salem Church Elementary,Mathematics,Gr 6,Mathematics,100,100,45,14
Chesterfield County ,Salem Church Elementary,Science,Gr 5,Science,64,68,7,6
Chesterfield County ,Salem Church Middle,English: Reading,Gr 6,English Reading,70,70,9,15
Chesterfield County ,Salem Church Middle,English: Reading,Gr 7,English Reading,71,71,6,17
Chesterfield County ,Salem Church Middle,English: Reading,Gr 8,English Reading,55,62,5,5
Chesterfield County ,Salem Church Middle,English: Writing,Gr 8,Writing,59,66,9,11
Chesterfield County ,Salem Church Middle,History and Social Sciences,Content Specific,Civics & Econ,84,86,22,24
Chesterfield County ,Salem Church Middle,History and Social Sciences,End of Course,World History I,<,,<,
Chesterfield County ,Salem Church Middle,Mathematics,Gr 6,Mathematics,61,82,3,10
Chesterfield County ,Salem Church Middle,Mathematics,Gr 7,Mathematics,64,66,7,6
Chesterfield County ,Salem Church Middle,Mathematics,Gr 8,Mathematics,76,82,13,21
Chesterfield County ,Salem Church Middle,Mathematics,End of Course,Algebra I,85,89,6,6
Chesterfield County ,Salem Church Middle,Mathematics,End of Course,Algebra II,,<,,<
Chesterfield County ,Salem Church Middle,Mathematics,End of Course,Geometry,100,100,40,43
Chesterfield County ,Salem Church Middle,Science,Gr 8,Science,64,74,5,6
Chesterfield County ,Salem Church Middle,Science,End of Course,Earth Science,100,96,19,9
Chesterfield County ,Spring Run Elementary,English: Reading,Gr 3,English Reading,79,81,15,28
Chesterfield County ,Spring Run Elementary,English: Reading,Gr 4,English Reading,86,84,26,28
Chesterfield County ,Spring Run Elementary,English: Reading,Gr 5,English Reading,79,89,10,24
Chesterfield County ,Spring Run Elementary,History and Social Sciences,Content Specific,VA Studies,94,93,65,62
Chesterfield County ,Spring Run Elementary,Mathematics,Gr 3,Mathematics,81,76,20,23
Chesterfield County ,Spring Run Elementary,Mathematics,Gr 4,Mathematics,91,88,45,45
Chesterfield County ,Spring Run Elementary,Mathematics,Gr 5,Mathematics,67,84,7,15
Chesterfield County ,Spring Run Elementary,Mathematics,Gr 6,Mathematics,100,98,35,56
Chesterfield County ,Spring Run Elementary,Mathematics,Gr 8,Mathematics,,<,,<
Chesterfield County ,Spring Run Elementary,Science,Gr 5,Science,84,89,21,21
Chesterfield County ,Spring Run Elementary,Science,Gr 8,Science,,<,,<
Chesterfield County ,Swift Creek Elementary,English: Reading,Gr 3,English Reading,75,81,11,20
Chesterfield County ,Swift Creek Elementary,English: Reading,Gr 4,English Reading,81,86,22,24
Chesterfield County ,Swift Creek Elementary,English: Reading,Gr 5,English Reading,73,90,25,32
Chesterfield County ,Swift Creek Elementary,History and Social Sciences,Content Specific,VA Studies,85,92,37,59
Chesterfield County ,Swift Creek Elementary,Mathematics,Gr 3,Mathematics,74,81,18,22
Chesterfield County ,Swift Creek Elementary,Mathematics,Gr 4,Mathematics,91,92,26,40
Chesterfield County ,Swift Creek Elementary,Mathematics,Gr 5,Mathematics,64,83,12,17
Chesterfield County ,Swift Creek Elementary,Mathematics,Gr 6,Mathematics,100,100,43,41
Chesterfield County ,Swift Creek Elementary,Science,Gr 5,Science,83,92,26,34
Chesterfield County ,Swift Creek Middle,English: Reading,Gr 6,English Reading,84,81,12,18
Chesterfield County ,Swift Creek Middle,English: Reading,Gr 7,English Reading,86,85,17,26
Chesterfield County ,Swift Creek Middle,English: Reading,Gr 8,English Reading,81,81,13,8
Chesterfield County ,Swift Creek Middle,English: Writing,Gr 8,Writing,82,87,24,23
Chesterfield County ,Swift Creek Middle,History and Social Sciences,Content Specific,Civics & Econ,90,91,36,28
Chesterfield County ,Swift Creek Middle,History and Social Sciences,End of Course,World History I,<,,<,
Chesterfield County ,Swift Creek Middle,Mathematics,Gr 6,Mathematics,87,86,7,8
Chesterfield County ,Swift Creek Middle,Mathematics,Gr 7,Mathematics,76,81,11,13
Chesterfield County ,Swift Creek Middle,Mathematics,Gr 8,Mathematics,81,85,16,21
Chesterfield County ,Swift Creek Middle,Mathematics,End of Course,Algebra I,93,91,16,13
Chesterfield County ,Swift Creek Middle,Mathematics,End of Course,Algebra II,,95,,12
Chesterfield County ,Swift Creek Middle,Mathematics,End of Course,Geometry,100,,56,
Chesterfield County ,Swift Creek Middle,Science,Gr 8,Science,81,88,8,7
Chesterfield County ,Swift Creek Middle,Science,End of Course,Earth Science,<,<,<,<
Chesterfield County ,Thelma Crenshaw Elementary,English: Reading,Gr 3,English Reading,53,79,8,24
Chesterfield County ,Thelma Crenshaw Elementary,English: Reading,Gr 4,English Reading,59,76,7,15
Chesterfield County ,Thelma Crenshaw Elementary,English: Reading,Gr 5,English Reading,73,86,9,21
